mi_geo_id,FIPS,County,Cty.VTD,STATEFP10,VTDST10,GEOID10,VTDI10,NAME10,NAMELSAD10,LSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,TOTPOP,VAP,PRS08DEM,PRS08REP,PRS08OTH,GOV06DEM,GOV06REP,GOV06OTH,AG06DEM,AG06REP,AG06OTH,SOS06DEM,SOS06REP,SOS06OTH
1,1,ALCONA,1 70,26,70,2600170,A,ZZZZZZ,Voting Districts not defined,V1,G5240,N,0,-1458326361,44.6825347,-82.8340798,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,1,ALCONA,1 40,26,40,2600140,A,13482000001,Voting District 0013482000001,V1,G5240,N,64565061,3166230,44.54628,-83.3797637,1409.00,1226.00,375.79,455.69,9.74,339.69,311.69,4.79,259.73,368.76,12.77,249.70,392.76,6.69
3,1,ALCONA,1 50,26,50,2600150,A,13574000001,Voting District 0013574000001,V1,G5240,N,92419117,410031,44.6430663,-83.4702772,795.00,620.00,162.70,209.65,6.74,133.70,163.67,6.74,103.69,183.73,9.70,97.68,195.70,5.58
4,1,ALCONA,1 80,26,80,2600180,A,13722000001,Voting District 0013722000001,V1,G5240,N,181148017,3645958,44.7130966,-83.5054913,1105.00,933.00,282.51,295.65,10.61,297.53,202.63,10.61,224.66,240.58,15.70,225.63,261.73,9.71
5,1,ALCONA,1 10,26,10,2600110,A,10104000001,Voting District 0010104000001,V1,G5240,N,148951224,23141297,44.8062371,-83.4473643,970.00,877.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,1,ALCONA,1 30,26,30,2600130,A,11932000001,Voting District 0011932000001,V1,G5240,N,177131206,6025830,44.5525681,-83.7775103,1236.00,1071.00,369.62,315.77,14.65,319.55,256.22,17.61,266.49,285.60,18.59,256.22,307.64,17.61
7,1,ALCONA,1 120,26,120,26001120,A,15474000001,Voting District 0015474000001,V1,G5240,N,369485481,2216847,44.7258098,-83.8020853,352.00,325.00,91.78,143.78,6.84,91.78,110.84,5.76,70.76,117.78,7.77,61.89,138.78,4.83
8,1,ALCONA,1 60,26,60,2600160,A,13688000001,Voting District 0013688000001,V1,G5240,N,78545047,44364,44.6457165,-83.3521647,1348.00,1142.00,317.75,474.75,11.79,318.74,368.72,13.78,213.76,416.77,26.75,207.76,455.72,16.71
9,1,ALCONA,1 110,26,110,26001110,A,15406000001,Voting District 0015406000001,V1,G5240,N,183363516,1273240,44.6411218,-83.6364449,404.00,367.00,120.65,108.84,5.80,116.76,81.80,2.81,77.81,108.84,5.80,79.71,115.79,4.75
10,1,ALCONA,1 100,26,100,26001100,A,15388000001,Voting District 0015388000001,V1,G5240,N,184795700,155511,44.5588829,-83.5142304,947.00,771.00,213.67,248.66,14.56,157.49,212.70,3.77,139.68,203.54,17.71,120.62,236.58,13.64
11,1,ALCONA,1 90,26,90,2600190,A,13738000001,Voting District 0013738000001,V1,G5240,N,90461339,378565,44.7230541,-83.3485883,722.00,623.00,206.76,227.77,5.75,210.73,203.74,5.75,168.85,224.79,10.80,152.79,248.67,8.76
12,1,ALCONA,1 20,26,20,2600120,A,11246000001,Voting District 0011246000001,V1,G5240,N,174717510,13320725,44.82663,-83.6129966,1161.00,982.00,288.73,370.70,10.72,327.71,236.72,2.78,248.68,287.66,11.70,237.71,317.66,6.70
13,1,ALCONA,1 98,26,98,2600198,A,13686000001,Voting District 0013686000001,V1,G5240,N,1584927,0,44.6572303,-83.2947225,493.00,412.00,133.89,126.87,4.88,129.86,113.89,3.84,86.87,133.89,13.85,79.85,152.88,6.86
14,3,ALGER,3 80,26,80,2600380,P,35622000002,Voting District 0035622000002,V1,G5240,S,377218763,1927053,46.4488192,-86.4783942,1322.00,1049.00,112.71,98.69,5.79,92.70,84.74,0.89,79.72,89.73,3.76,73.76,98.69,0.89
15,3,ALGER,3 50,26,50,2600350,A,35236000001,Voting District 0035236000001,V1,G5240,N,183054729,3482482,46.214964,-86.8698594,554.00,437.00,159.76,96.74,3.75,154.68,81.74,1.83,129.69,83.72,10.81,119.69,97.70,9.76
16,3,ALGER,3 70,26,70,2600370,P,35622000001,Voting District 0035622000001,V1,G5240,S,146504978,6534720,46.2904369,-86.6377981,1661.00,1494.00,431.72,449.80,15.83,390.80,301.79,14.97,301.79,342.67,20.78,275.73,399.74,13.74
17,3,ALGER,3 100,26,100,26003100,A,36916000001,Voting District 0036916000001,V1,G5240,N,209127892,652409,46.3468839,-86.9948981,1212.00,930.00,366.54,293.57,16.56,353.66,164.51,11.57,270.55,217.50,22.47,239.56,267.53,16.56
