sd_geo_id	sd_vote_id	statefp10	countyfp10	totpop	vap	vtd_fact	vtdst10	geoid10	vtdi10	name10	namelsad10	lsad10	mtfcc10	funcstat10	aland10	awater10	intptlat10	intptlon10	sd_agg	fraction	mergevar	county	precinct	usp_tot_08	usp_r_08	usp_d_08	ush_r_08	ush_d_08	uss_r_08	uss_d_08	usp_08	ush_08	uss_08	av_08	ndv	nrv
1	"7"	46	3	707	522	"VTD-7"	"VTD-7"	"46003VTD-7"	"A"	"VTD-precinct 7"	"VTD-precinct 7"	0	"G5240"	"N"	1956059	0	43.715412	-98.48373	"522"	"1"	"7"	"Aurora"	"#7"	356.0	166.0	190.0	75.0	291.0	95.0	266.0	0.53370786	0.795082	0.7368421	0.6897507	245.55124	110.44875
2	"5"	46	3	328	195	"VTD-5"	"VTD-5"	"46003VTD-5"	"A"	"VTD-precinct 5"	"VTD-precinct 5"	0	"G5240"	"N"	276948256	306829	43.751583	-98.45476	"195"	"1"	"5"	"Aurora"	"#5"	143.0	64.0	79.0	34.0	113.0	45.0	100.0	0.55244756	0.76870745	0.6896552	0.67126435	95.99081	47.009197
3	"1"	46	3	468	357	"VTD-1"	"VTD-1"	"46003VTD-1"	"A"	"VTD-precinct 1"	"VTD-precinct 1"	0	"G5240"	"N"	182727651	104262	43.578648	-98.37472	"357"	"1"	"1"	"Aurora"	"#1"	293.0	192.0	101.0	104.0	198.0	118.0	183.0	0.3447099	0.65562916	0.6079734	0.5379464	157.6183	135.3817
4	"2"	46	3	238	183	"VTD-2"	"VTD-2"	"46003VTD-2"	"A"	"VTD-precinct 2"	"VTD-precinct 2"	0	"G5240"	"N"	270364721	0	43.570034	-98.538315	"183"	"1"	"2"	"Aurora"	"#2"	145.0	102.0	43.0	54.0	100.0	60.0	97.0	0.29655173	0.64935064	0.6178344	0.5263158	76.31579	68.68421
5	"3"	46	3	659	502	"VTD-3"	"VTD-3"	"46003VTD-3"	"A"	"VTD-precinct 3"	"VTD-precinct 3"	0	"G5240"	"N"	461629799	9017753	43.66506	-98.70392	"502"	"1"	"3"	"Aurora"	"#3"	334.0	155.0	179.0	79.0	272.0	93.0	260.0	0.53592813	0.77492875	0.7365439	0.6849711	228.78035	105.21965
6	"4"	46	3	121	87	"VTD-4"	"VTD-4"	"46003VTD-4"	"A"	"VTD-precinct 4"	"VTD-precinct 4"	0	"G5240"	"N"	360021701	897719	43.824345	-98.6539	"87"	"1"	"4"	"Aurora"	"#4"	74.0	50.0	24.0	31.0	43.0	32.0	43.0	0.3243243	0.5810811	0.5733333	0.49327356	36.502243	37.497757
7	"6"	46	3	189	139	"VTD-6"	"VTD-6"	"46003VTD-6"	"A"	"VTD-precinct 6"	"VTD-precinct 6"	0	"G5240"	"N"	281162806	874814	43.85726	-98.421486	"139"	"1"	"6"	"Aurora"	"#6"	104.0	65.0	39.0	34.0	73.0	41.0	66.0	0.375	0.682243	0.6168224	0.5597484	58.213837	45.786163
8	"20"	46	5	1598	1310	"VTDW81"	"VTDW81"	"46005VTDW81"	"A"	"VTD-Huron precinct W8-1"	"VTD-Huron precinct W8-1"	0	"G5240"	"N"	1507212	0	44.345184	-98.22588	"1310"	"1"	"20"	"Beadle"	"W8-1"	804.0	425.0	379.0	252.0	564.0	307.0	511.0	0.47139305	0.6911765	0.62469435	0.5963905	479.49796	324.50204
9	"21"	46	5	1537	1177	"VTDW82"	"VTDW82"	"46005VTDW82"	"A"	"VTD-Huron precinct W8-2"	"VTD-Huron precinct W8-2"	0	"G5240"	"N"	87324134	34443	44.319977	-98.28529	"1177"	"1"	"21"	"Beadle"	"W8-2"	726.0	399.0	327.0	215.0	514.0	237.0	492.0	0.45041323	0.70507544	0.67489713	0.610348	443.11264	282.88736
10	"17"	46	5	2259	1647	"VTD-W3"	"VTD-W3"	"46005VTD-W3"	"A"	"VTD-Huron precinct W3"	"VTD-Huron precinct W3"	0	"G5240"	"N"	1307244	0	44.355583	-98.22311	"1647"	"1"	"17"	"Beadle"	"W3"	889.0	446.0	443.0	255.0	650.0	287.0	626.0	0.4983127	0.71823204	0.6856517	0.6350203	564.5331	324.46695
11	"18"	46	5	1380	1017	"VTDW71"	"VTDW71"	"46005VTDW71"	"A"	"VTD-Huron precinct W7-1"	"VTD-Huron precinct W7-1"	0	"G5240"	"N"	85388786	3065546	44.31954	-98.14423	"1017"	"1"	"18"	"Beadle"	"W7-1"	622.0	310.0	312.0	175.0	448.0	201.0	429.0	0.5016077	0.71910113	0.68095237	0.63413334	394.43094	227.56906
12	"15"	46	5	2801	2156	"VTD-W1"	"VTD-W1"	"46005VTD-W1"	"A"	"VTD-Huron precinct W1"	"VTD-Huron precinct W1"	0	"G5240"	"N"	284870731	1364065	44.44153	-98.23647	"2156"	"1"	"15"	"Beadle"	"W1"	1138.0	640.0	498.0	336.0	839.0	398.0	779.0	0.43760985	0.71404254	0.6618522	0.60630375	689.97363	448.02637
