ALAND10	AR_RESULT	AWATER10	COUNTYFP10	COUNTY_NAM	CTYFP_FUL	FUNCSTAT10	GEOID10	INTPTLAT10	INTPTLON10	LSAD10	MTFCC10	NAME10	NAMELSAD10	POPULATION	PRES04_DEM	PRES04_REP	PRES08_DEM	PRES08_REP	PRES12_DEM	PRES12_REP	STATEFP10	VAP_ASIAN	VAP_BLACK	VAP_HISPAN	VAP_INDIAN	VAP_OTHER	VAP_TOTAL	VAP_WHITE	VTDI10	VTDST10
701626316	2	0	113	San Miguel County	8113	N	811357005	37.9943017	-108.8883976	0	G5240	San Miguel 5	San Miguel 5	118.0	46.11604837613806	17.30153553471939	53.70050278570458	14.960456583774969	47.97608370702541	18.504144584862075	8	0.7215654300856095	0.2886261720342438	7.151515151515151	0.44897404538660146	1.090365538796032	94.79766272591385	85.09661638809621	A	57005
912045363	1	443235	9	Baca County	8009	N	800905001	37.3513375	-102.182932	0	G5240	Baca 1	Baca 1	446.0	56.86853220696938	197.8035902851109	63.10876451953538	185.08764519535376	54.98468848996832	183.5570221752904	8	0.706441393875396	1.648363252375924	24.607708553326294	4.12090813093981	3.649947201689546	350.1594508975713	315.4260823653643	A	5001
1917061660	2	11982020	53	Hinsdale County	8053	N	805327001	37.9109357	-107.2559561	0	G5240	Hinsdale 1	Hinsdale 1	793.0	222.00237247924082	333.94424673784107	225.76512455516016	323.5966785290629	215.41755634638196	332.0628706998814	8	2.8220640569395017	0.9406880189798339	16.93238434163701	2.8220640569395017	11.288256227758007	634.9644128113879	600.158956109134	A	27001
768528000	2	3342660	53	Hinsdale County	8053	N	805327002	37.5455478	-107.3255334	0	G5240	Hinsdale 2	Hinsdale 2	30.0	8.398576512455517	12.633451957295375	8.540925266903914	12.241992882562277	8.149466192170818	12.562277580071175	8	0.10676156583629894	0.03558718861209965	0.6405693950177936	0.10676156583629894	0.42704626334519574	24.02135231316726	22.704626334519574	A	27002
207984175	2	0	53	Hinsdale County	8053	N	805327003	38.0555112	-107.0585166	0	G5240	Hinsdale 3	Hinsdale 3	20.0	5.599051008303677	8.422301304863582	5.693950177935943	8.161328588374852	5.432977461447212	8.374851720047449	8	0.0711743772241993	0.02372479240806643	0.42704626334519574	0.0711743772241993	0.2846975088967972	16.01423487544484	15.136417556346382	A	27003
2377554	2	0	15	Chaffee County	8015	N	801508011	38.5284948	-106.0152382	0	G5240	Chaffee 11	Chaffee 11	1110.0	234.72738503004098	303.8491773822225	303.0389129092032	303.72452130945027	317.0003930596889	316.0031444775114	8	5.547195238362626	16.080633387613005	83.33258464821158	7.541692402717727	7.6663484754899205	923.7638272783424	803.5953731259475	A	8011
110427565	2	281636	15	Chaffee County	8015	N	801508010	38.8367682	-106.2958313	0	G5240	Chaffee 10	Chaffee 10	1199.0	253.5478690549722	328.2118591723286	327.33662754786906	328.07720815318095	342.4175416924027	341.3403335392217	8	5.9919703520691785	17.369981470043236	90.0142063001853	8.14638665843113	8.281037677578752	997.8313773934527	868.0277949351452	A	8010
310166173	2	493951	15	Chaffee County	8015	N	801508009	38.7382441	-106.3169553	0	G5240	Chaffee 9	Chaffee 9	1118.0	236.4191139311584	306.0390813633556	305.22297714638665	305.9135268684373	319.2850805772362	318.28064461788983	8	5.587175023864338	16.196529844460667	83.93317985288337	7.596046942557134	7.721601437475433	930.4215845920602	809.3870514908192	A	8009
5296748	2	0	15	Chaffee County	8015	N	801508008	38.8410719	-106.155081	0	G5240	Chaffee 8	Chaffee 8	1009.0	213.36930765343365	276.20163962041664	275.4651019147622	276.08832612723904	288.15621315065414	287.2497052052333	8	5.042450446403504	14.617440619911282	75.75007018923016	6.855466337245213	6.96877983042282	839.7096411926555	730.4754337694424	A	8008
618601743	2	294612	57	Jackson County	8057	N	805729004	40.4600372	-106.1306325	0	G5240	Jackson 4	Jackson 4	61.0	9.189383070301291	31.068866571018653	12.121233859397417	27.305595408895265	9.451936872309899	26.25538020086083	8	0.04375896700143472	0.0	4.332137733142037	0.4375896700143472	0.3500717360114778	49.622668579626975	44.45911047345768	A	29004
