ALAND10	AWATER10	CD12_DEM	CD12_REP	CD_2000	CD_BD	CD_FV	CD_NOW	COUNTYFP10	COUNTY_NAM	CTYFP_FUL	FUNCSTAT10	GEOID10	INTPTLAT10	INTPTLON10	LSAD10	MTFCC10	NAME10	NAMELSAD10	POPULATION	POP_ASIAN	POP_BLACK	POP_HAWAII	POP_HISPAN	POP_INDIAN	POP_MULTI	POP_OTHER	POP_TOTAL	POP_WHITE	PRES04_DEM	PRES04_REP	PRES08_DEM	PRES08_REP	PRES12_D50	PRES12_DEM	PRES12_R50	PRES12_REP	SLDL_BD	SLDL_NOW	SLDU_BD	SLDU_NOW	STATEFP10	VAP_ASIAN	VAP_BLACK	VAP_HAWAII	VAP_HISPAN	VAP_INDIAN	VAP_MULTI	VAP_OTHER	VAP_TOT	VAP_TOTAL	VAP_WHITE	VTDI10	VTDNAME	VTDST10
106456	990877996	387.49513153915933	109.5412156032658	10	2	1	10	7	Dukes County	25007	S	25007ZZZZZZ	41.3211795	-70.8009033	0	G5240	Voting Districts not defined	Voting Districts not defined	832.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	365.55669791351676	130.92615663743575	398.1624433020865	122.8753553069247	386.26176766051935	401.4330813426066	146.23000068636495	140.4864832174176	32	63	9	22	25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	672.342546114303	0.0	0.0	P	Voting Districts not defined	ZZZZZZ
13810631	103248	144.8449349863925	40.946295736316905	10	2	1	10	7	Dukes County	25007	N	250072464	41.338632	-70.8069887	0	G5240	Aquinnah Precinct 1	Aquinnah Precinct 1	311.0	13.0	53.0	0.0	196.0	1110.0	408.0	65.0	4119.0	2274.0	270.0	22.0	280.0	26.0	242.4761933543213	252.0	39.55355631959431	38.0	32	63	9	22	25	0.0	53.0	0.0	143.0	864.0	189.0	65.0	251.32035077109163	3302.0	1988.0	A	Aquinnah Precinct 1	2464
49317547	2216785	26.547142425158754	7.504626549742969	10	2	1	10	7	Dukes County	25007	N	250072465	41.3489315	-70.7269625	0	G5240	Chilmark Precinct 1	Chilmark Precinct 1	57.0	26.0	195.0	0.0	91.0	26.0	117.0	13.0	11258.0	10790.0	583.0	156.0	597.0	125.0	566.7399916099018	589.0	132.19214875232834	127.0	32	63	9	22	25	26.0	130.0	0.0	91.0	13.0	78.0	13.0	46.06192924100393	9230.0	8879.0	A	Chilmark Precinct 1	2465
69324205	6196766	1894.1618990021168	535.4616873299062	10	2	1	10	7	Dukes County	25007	N	250072466	41.380098	-70.5486655	0	G5240	Edgartown Precinct 1	Edgartown Precinct 1	4067.0	247.0	1105.0	13.0	1287.0	221.0	1339.0	2509.0	52871.0	46150.0	1539.0	793.0	1692.0	719.0	1636.7143051416688	1701.0	860.8102914816972	827.0	121	63	9	22	25	182.0	871.0	13.0	871.0	169.0	845.0	1976.0	3286.559056546719	42432.0	37505.0	A	Edgartown Precinct 1	2466
34153241	819036	24.218445721197458	6.846325975204112	10	2	1	10	7	Dukes County	25007	N	250072467	41.4663583	-70.7990812	0	G5240	Gosnold Precinct 1	Gosnold Precinct 1	52.0	0.0	0.0	0.0	0.0	0.0	39.0	0.0	975.0	936.0	41.0	34.0	52.0	26.0	47.1481487077847	49.0	37.4717901975104	36.0	32	63	9	22	25	0.0	0.0	0.0	0.0	0.0	39.0	0.0	42.02140913214394	832.0	793.0	A	Gosnold Precinct 1	2467
18927106	358829	2108.401995766556	596.0253401874811	10	2	1	10	7	Dukes County	25007	N	250072468	41.4368083	-70.5834483	0	G5240	Oak Bluffs Precinct 1	Oak Bluffs Precinct 1	4527.0	676.0	2717.0	13.0	1430.0	533.0	2730.0	2171.0	58851.0	48581.0	1770.0	698.0	1931.0	706.0	1894.5858123597566	1969.0	828.5429165893966	796.0	32	63	9	22	25	481.0	2431.0	13.0	962.0	403.0	1625.0	1677.0	3658.2869065618384	47580.0	39988.0	A	Oak Bluffs Precinct 1	2468
16928600	125630	1839.2046567886302	519.9257937707893	10	2	1	10	7	Dukes County	25007	N	250072469	41.4538932	-70.6199862	0	G5240	Tisbury Precinct 1	Tisbury Precinct 1	3949.0	390.0	1833.0	13.0	1534.0	208.0	1560.0	2457.0	51337.0	43342.0	1669.0	566.0	1830.0	541.0	1775.2721299155667	1845.0	619.3254213199635	595.0	32	63	9	22	25	299.0	1443.0	13.0	962.0	195.0	754.0	1937.0	3191.202781977623	41873.0	36270.0	A	Tisbury Precinct 1	2469
64835808	3481648	1276.1257937707892	360.7487148472936	10	2	1	10	7	Dukes County	25007	N	250072470	41.4002519	-70.6569337	0	G5240	West Tisbury Precinct 1	West Tisbury Precinct 1	2740.0	247.0	299.0	13.0	455.0	221.0	663.0	208.0	35620.0	33514.0	1393.0	333.0	1531.0	299.0	1513.5517942315373	1573.0	388.2493817686494	373.0	32	63	9	22	25	156.0	195.0	13.0	273.0	169.0	364.0	195.0	2214.205019655277	28509.0	27144.0	A	West Tisbury Precinct 1	2470
707980	0	1004.514435695538	552.1416797496156	9	8	1	9	23	Plymouth County	25023	N	250233664	42.0780275	-71.0234832	0	G5240	Brockton Ward 2 Precinct C	Brockton Ward 2 Precinct C	3328.0	702.0	16146.0	78.0	6591.0	91.0	3718.0	8294.0	43264.0	7644.0	504.452337	76.11797636	585.0	73.0	610.316175114366	634.2877377	68.61130797399868	65.91644205	112	179	8	48	25	507.0	10725.0	52.0	4108.0	65.0	2028.0	5694.0	2524.6103544216326	29029.0	5850.0	A	Brockton Ward 2 Precinct C	3664
737818	0	963.4645669291339	529.578197644463	9	8	1	9	23	Plymouth County	25023	N	250233665	42.0752667	-71.0318061	0	G5240	Brockton Ward 2 Precinct D	Brockton Ward 2 Precinct D	3192.0	1053.0	12012.0	26.0	4303.0	104.0	3081.0	3653.0	41496.0	17264.0	701.9217134	339.9241136	814.0	326.0	849.2262675328591	882.58157	306.4011835280259	294.3665768	143	179	24	48	25	871.0	8359.0	13.0	2652.0	91.0	1859.0	2444.0	2421.44118128421	30940.0	14651.0	A	Brockton Ward 2 Precinct D	3665
